FECHA	HORA	PM2.5	SO2	NO	NO2	PM10	NOx	O3
11/01/2023	08	9	3			12		10
11/01/2023	09	10	3			15		13
11/01/2023	10	7	3			11		23
11/01/2023	11	7	3			13		25
11/01/2023	12	7	3			13		23
11/01/2023	13	6	3			12		27
11/01/2023	14	5	3	2	18	9	21	31
11/01/2023	15	5	3	2	20	16	23	26
11/01/2023	16	6	3	4	25	14	30	19
11/01/2023	17	6	3	3	26	16	30	15
11/01/2023	18	7	3	4	31	14	37	6
11/01/2023	19	8	3	3	34	13	38	5
11/01/2023	20	9	3	7	37	17	48	3
11/01/2023	21	13	3	20	38	22	69	4
11/01/2023	22	10	3	9	33	23	46	6
11/01/2023	23	6	3	2	17	12	19	34
12/01/2023	00	4	3	2	13	6	16	42
12/01/2023	01	4	3	2	14	5	17	34
12/01/2023	02	4	3	2	14	6	16	32
12/01/2023	03	6	3	2	15	7	17	26
12/01/2023	04	5	3	2	15	7	17	22
12/01/2023	05	5	3	2	15	6	17	23
12/01/2023	06	4	3	2	16	5	18	29
12/01/2023	07	4	3	2	20	6	22	22
12/01/2023	08	5	3	2	27	11	29	15
12/01/2023	09	6	3	2	22	13	25	25
12/01/2023	10	8	3	2	17	17	20	31
12/01/2023	11	12	3	7	27	26	38	22
12/01/2023	12	12	3	6	22	19	30	30
12/01/2023	13	13	3	3	20	20	24	33
12/01/2023	14	11	3	3	18	19	22	37
12/01/2023	15	11	3	2	19	34	22	36
12/01/2023	16	8	3	2	15	13	17	49
12/01/2023	17	9	3	2	27	20	30	28
12/01/2023	18	7	3	2	25	9	28	35
12/01/2023	19	7	3	2	22	9	24	35
12/01/2023	20	9	3	2	27	12	29	19
12/01/2023	21	18	3	10	39	23	55	5
12/01/2023	22	19	3	10	40	24	56	5
12/01/2023	23	20	3	2	33	25	36	8
13/01/2023	00	16	3	3	35	21	39	4
13/01/2023	01	13	3	2	30	15	32	8
13/01/2023	02	11	3	2	21	13	23	18
13/01/2023	03	10	3	1	17	11	19	21
13/01/2023	04	13	3	2	18	15	20	13
13/01/2023	05	14	3	3	19	16	24	7
13/01/2023	06	9	3	3	22	11	26	7
13/01/2023	07	9	3	7	29	12	39	4
13/01/2023	08	11	3	14	34	19	55	4
13/01/2023	09	12	3	20	34	24	64	5
13/01/2023	10	13	3	17	32	28	57	9
13/01/2023	11	12	3	9	27	25	41	15
13/01/2023	12	10	3	5	19	24	26	27
13/01/2023	13	13	3	5	26	30	33	23
13/01/2023	14	10	3	3	19	16	24	31
13/01/2023	15	12	3	2	20	18	23	34
13/01/2023	16	10	3	2	20	15	22	36
13/01/2023	17	9	3	2	20	17	23	33
13/01/2023	18	12	3	2	37	27	40	12
13/01/2023	19	16	3	14	43	35	64	4
13/01/2023	20	18	3	16	43	31	66	4
13/01/2023	21	28	3	38	43	53	102	7
13/01/2023	22	29	3	40	41	44	102	7
13/01/2023	23	35	3	59	41	51	132	8
14/01/2023	00	30	3	45	39	41	109	6
14/01/2023	01	18	3	11	36	23	54	6
14/01/2023	02	12	3	2	26	14	30	15
14/01/2023	03	7	3	2	17	9	19	29
14/01/2023	04	6	3	2	15	8	17	29
14/01/2023	05	10	3	1	16	11	18	24
14/01/2023	06	12	3	1	16	13	19	20
14/01/2023	07	7	3	1	19	9	22	19
14/01/2023	08	11	3	2	24	13	27	12
14/01/2023	09	10	3	3	24	13	30	16
14/01/2023	10	11	3	4	21	14	28	20
14/01/2023	11	12	3	4	20	17	25	25
14/01/2023	12	10	3	3	18	13	22	30
14/01/2023	13	15	3	2	19	19	23	31
14/01/2023	14	16	3	2	19	19	22	39
14/01/2023	15	7	3	2	17	13	19	42
14/01/2023	16	6	3	2	15	10	17	44
14/01/2023	17	13	3	2	27	16	30	38
14/01/2023	18	10	3	2	22	13	24	34
14/01/2023	19	9	3	2	24	11	26	30
14/01/2023	20	16	3	2	33	21	36	13
14/01/2023	21	19	3	6	38	25	47	5
14/01/2023	22	20	3	14	38	25	58	13
14/01/2023	23	9	3	2	18	10	20	34
15/01/2023	00	7	3	2	15	8	18	37
15/01/2023	01	6	3	2	13	7	15	41
15/01/2023	02	6	3	2	11	7	13	42
15/01/2023	03	6	3	2	10	8	12	43
15/01/2023	04	8	3	2	9	9	11	45
15/01/2023	05	8	3	2	8	9	10	42
15/01/2023	06	8	3	2	8	10	11	42
15/01/2023	07	9	3	2	10	11	12	38
15/01/2023	08	9	3	1	11	11	13	37
15/01/2023	09	9	3	2	9	16	11	40
15/01/2023	10	11	3	2	9	14	11	40
15/01/2023	11	11	3	2	9	23	12	40
15/01/2023	12	12	3	2	9	29	12	39
15/01/2023	13	11	3	2	10	28	12	40
15/01/2023	14	9	3	2	10	14	12	42
15/01/2023	15	10	3	2	10	15	12	40
15/01/2023	16	8	3	2	10	21	12	38
15/01/2023	17	8	3	2	10	27	12	36
15/01/2023	18	5	3	2	11	7	13	32
15/01/2023	19	5	3	2	14	7	16	24
15/01/2023	20	6	3	2	19	9	22	15
15/01/2023	21	7	3	2	23	9	25	11
15/01/2023	22	6	3	2	22	8	25	17
15/01/2023	23	4	3	2	16	5	18	28
16/01/2023	00	4	3	2	10	5	12	35
16/01/2023	01	5	3	2	10	6	12	
16/01/2023	02	4	3	2	9	5	11	
16/01/2023	03	4	3	1	8	4	10	
16/01/2023	04	4	3	2	7	4	9	
16/01/2023	05	4	3	2	7	6	9	
16/01/2023	06	4	3	1	7	7	10	
16/01/2023	07	7	3	1	10	18	13	
16/01/2023	08	8	3	1	16	22	19	
16/01/2023	09	8	3	1	16	21	19	
16/01/2023	10	6	3	1	14	15	16	
16/01/2023	11	6	3	2	13	14	16	
16/01/2023	12	7	3	2	11	23	14	
16/01/2023	13	8	3	2	11	27	13	
16/01/2023	14	8	3	2	10	34	13	
16/01/2023	15	6	3	2	11	18	13	
16/01/2023	16	5	3	2	11	13	14	
16/01/2023	17	6	3	2	13	16	15	
16/01/2023	18	7	3	2	12	17	14	
16/01/2023	19	5	3	2	13	11	15	
16/01/2023	20	6	3	2	12	15	14	
16/01/2023	21	6	3	2	10	23	12	
16/01/2023	22	6	3	2	8	26	10	
16/01/2023	23	7	3	2	7	32	9	
17/01/2023	00	8	3	2	7	42	9	
17/01/2023	01	11	3	2	7	71	9	
17/01/2023	02	8	3	2	6	42	9	
17/01/2023	03	7	3	2	6	32	9	
17/01/2023	04	4	3	2	6	12	9	
17/01/2023	05	6	3	2	7	22	9	
17/01/2023	06	5	3	2	7	17	9	
17/01/2023	07	3	3	2	9	8	11	
17/01/2023	08	4	3	2	11	9	14	
17/01/2023	09	4	3	2	10	13	13	
17/01/2023	10	5	3	2	9	18	11	
17/01/2023	11	5	3	2	9	18	11	
17/01/2023	12	6	3	2	8	23	11	
17/01/2023	13	8	3	2	8	43	11	
17/01/2023	14	7	3	2	8	34	10	
17/01/2023	15	7	3	2	8	42	10	
17/01/2023	16	5	3	2	8	14	10	
17/01/2023	17	5	3	2	8	15	11	
17/01/2023	18	3	3	2	10	7	12	
17/01/2023	19	3	3	2	8	6	10	
17/01/2023	20	3	3	2	4	5	6	70
17/01/2023	21	2	3	2	4	3	6	70
17/01/2023	22	2	3	2	3	3	5	72
17/01/2023	23	2	3	2	3	3	5	67
18/01/2023	00	2	3	1	2	3	4	72
18/01/2023	01	2	3	2	1	3	3	73
18/01/2023	02	2	3	2	1	3	3	71
18/01/2023	03	2	3	1	1	3	3	69
18/01/2023	04	2	3	1	1	3	2	70
18/01/2023	05	2	3	1	1	5	3	69
18/01/2023	06	2	3	1	1	3	3	67
18/01/2023	07	3	3	1	5	4	7	55
18/01/2023	08	3				6		
18/01/2023	09	4				7		
18/01/2023	10	4	3	1	9	6	11	56
18/01/2023	11	3	3	1	4	7	6	64
18/01/2023	12	4	3	1	4	7	6	61
18/01/2023	13	3	3	1	3	6	6	60
18/01/2023	14	3	3	2	2	6	4	62
18/01/2023	15	2	3	2	1	5	4	61
18/01/2023	16	3	3	2	2	6	4	59
18/01/2023	17	3	3	1	6	6	7	56
18/01/2023	18	4	3	1	13	7	13	42
18/01/2023	19	4	3	1	18	6	19	40
18/01/2023	20	3	3	1	12	4	13	52
18/01/2023	21	3	3	1	10	4	12	53
18/01/2023	22	5	3	1	10	6	12	49
18/01/2023	23	7	3	1	10	14	12	47
19/01/2023	00	4	3	1	8	6	10	52
19/01/2023	01	3	3	1	5	4	6	65
19/01/2023	02	2	3	1	5	4	7	62
19/01/2023	03	3	3	1	3	4	4	67
19/01/2023	04	2	3	1	1	3	3	71
19/01/2023	05	2	3	1	1	3	3	71
19/01/2023	06	2	3	1	2	4	4	67
19/01/2023	07	3	3	1	7	5	8	54
