FECHA	HORA	SO2	NO	NO2	NOx	O3
31/03/2023	08	3	2	7	10	81
31/03/2023	09	3	2	6	9	86
31/03/2023	10	3	2	6	9	84
31/03/2023	11	5	2	6	9	75
31/03/2023	12	5	2	6	9	77
31/03/2023	13	5	2	8	12	73
31/03/2023	14	5	2	10	14	72
31/03/2023	15	5	2	10	13	77
31/03/2023	16	5	2	9	12	83
31/03/2023	17	4	2	8	11	81
31/03/2023	18	3	2	8	11	77
31/03/2023	19	3	2	11	13	71
31/03/2023	20	5	2	11	14	72
31/03/2023	21	4	2	7	9	76
31/03/2023	22	3	2	5	8	75
31/03/2023	23	3	2	5	8	71
01/04/2023	00	3	2	3	6	71
01/04/2023	01	3	2	3	6	71
01/04/2023	02	3	2	4	6	72
01/04/2023	03	3	2	3	5	76
01/04/2023	04	3	2	3	6	71
01/04/2023	05	3	2	4	7	67
01/04/2023	06	3	2	9	12	53
01/04/2023	07	3	2	16	19	42
01/04/2023	08	3	2	13	16	51
01/04/2023	09	3	2	11	14	57
01/04/2023	10	3	2	7	11	66
01/04/2023	11	3	2	4	7	75
01/04/2023	12	5	2	5	8	83
01/04/2023	13	5	3	7	11	85
01/04/2023	14	5	4	12	18	77
01/04/2023	15	5	4	13	19	78
01/04/2023	16	5	2	10	14	87
01/04/2023	17	4	2	8	11	92
01/04/2023	18	3	2	7	10	92
01/04/2023	19	3	2	11	13	86
01/04/2023	20	3	2	12	15	74
01/04/2023	21	4	1	10	12	79
01/04/2023	22	3	2	3	6	81
01/04/2023	23	3	2	5	8	74
02/04/2023	00	3	1	2	4	85
02/04/2023	01	3	2	2	4	87
02/04/2023	02	3	2	2	5	88
02/04/2023	03	3	2	2	5	85
02/04/2023	04	3	2	2	5	86
02/04/2023	05	3	2	2	5	89
02/04/2023	06	3	1	2	5	87
02/04/2023	07	3	2	2	5	84
02/04/2023	08	3	2	2	5	85
02/04/2023	09	3	2	2	5	82
02/04/2023	10	3	2	2	5	82
02/04/2023	11	3	2	2	5	81
02/04/2023	12	3	2	2	5	83
02/04/2023	13	3	2	2	5	84
02/04/2023	14	3	2	2	5	86
02/04/2023	15	3	2	2	5	89
02/04/2023	16	3	2	3	5	89
02/04/2023	17	3	2	6	8	89
02/04/2023	18	4	4	23	29	61
02/04/2023	19	3	2	5	7	80
02/04/2023	20	3	2	4	7	80
02/04/2023	21	3	2	4	7	79
02/04/2023	22	3	2	3	6	82
02/04/2023	23	3	2	2	5	85
03/04/2023	00	3	2	2	5	83
03/04/2023	01	3	2	3	5	77
03/04/2023	02	3	2	2	5	80
03/04/2023	03	3	2	2	5	84
03/04/2023	04	3	2	2	5	83
03/04/2023	05	3	2	8	11	73
03/04/2023	06	3	4	34	41	29
03/04/2023	07	3	11	41	58	17
03/04/2023	08	3	7	21	32	45
03/04/2023	09	3	4	10	16	64
03/04/2023	10	3	3	8	13	75
03/04/2023	11	5	3	8	12	79
03/04/2023	12	5	3	10	15	82
03/04/2023	13	6	3	10	14	85
03/04/2023	14	5	3	8	12	84
03/04/2023	15	6	2	8	12	87
03/04/2023	16	6	4	14	19	78
03/04/2023	17	5	2	11	15	83
03/04/2023	18	5	2	19	22	68
03/04/2023	19	3	2	21	23	66
03/04/2023	20	4	2	20	23	63
03/04/2023	21	3	2	20	22	60
03/04/2023	22	3	2	14	16	64
03/04/2023	23	3	2	12	14	53
04/04/2023	00	3	2	13	16	49
04/04/2023	01	3	2	13	16	42
04/04/2023	02	3	2	8	11	45
04/04/2023	03	3	2	6	9	48
04/04/2023	04	3	2	8	10	45
04/04/2023	05	3	2	16	18	35
04/04/2023	09	5	13	24	43	40
04/04/2023	10	9	3	9	13	73
04/04/2023	11	8	3	8	12	78
04/04/2023	12	3	2	3	6	93
04/04/2023	13	3	2	3	6	94
04/04/2023	14	3	2	3	6	96
04/04/2023	15	3	2	4	7	100
04/04/2023	16	4	2	6	9	100
04/04/2023	17	3	2	7	10	103
04/04/2023	18	3	2	7	10	102
04/04/2023	19	3	2	13	16	89
04/04/2023	20	3	2	24	27	57
04/04/2023	21	3	2	16	19	62
04/04/2023	22	3	2	11	13	70
04/04/2023	23	3	1	13	15	59
05/04/2023	00	3	1	11	13	56
05/04/2023	01	3	2	9	11	55
05/04/2023	02	3	2	11	14	49
05/04/2023	03	3	2	15	18	35
05/04/2023	04	3	2	16	18	28
05/04/2023	05	3	2	19	22	27
05/04/2023	06	3	4	32	38	16
05/04/2023	07	3	12	41	58	14
05/04/2023	08	3	11	29	46	30
05/04/2023	09	3	4	14	21	60
05/04/2023	10	3	3	9	14	76
05/04/2023	11	3	4	13	19	77
05/04/2023	12	4	3	11	16	84
05/04/2023	13	4	3	9	13	93
05/04/2023	14	3	3	7	11	95
05/04/2023	15	4	2	6	9	95
05/04/2023	16	3	2	7	10	93
05/04/2023	17	4	3	10	13	80
05/04/2023	18	4	3	21	25	70
05/04/2023	19	3	2	17	19	68
05/04/2023	20	3	2	9	11	76
05/04/2023	21	3	2	13	15	63
05/04/2023	22	3	2	14	16	55
05/04/2023	23	3	1	13	16	49
06/04/2023	00	3	2	14	16	46
06/04/2023	01	3	2	9	11	59
06/04/2023	02	3	2	13	15	40
06/04/2023	03	3	2	7	10	46
06/04/2023	04	3	2	10	13	40
06/04/2023	05	3	2	17	20	35
06/04/2023	06	3	5	34	41	11
06/04/2023	07	3	13	37	56	12
06/04/2023	08	3	10	28	42	26
06/04/2023	09	3	9	26	40	40
06/04/2023	10	3	5	18	26	62
06/04/2023	11	3	4	12	17	79
06/04/2023	12	3	2	8	12	91
06/04/2023	13	3	3	10	14	92
06/04/2023	14	3	2	6	10	101
06/04/2023	15	4	2	7	11	101
06/04/2023	16	4	3	10	13	91
06/04/2023	17	4	2	6	9	97
06/04/2023	18	3	2	13	16	86
06/04/2023	19	3	2	6	8	97
06/04/2023	20	3	2	5	8	95
06/04/2023	21	3	1	6	8	89
06/04/2023	22	3	2	8	10	80
06/04/2023	23	3	2	14	16	57
07/04/2023	00	3	2	10	13	58
07/04/2023	01	3	2	6	8	75
07/04/2023	02	3	2	11	14	54
07/04/2023	03	3	2	9	11	49
07/04/2023	04	3	2	6	8	50
07/04/2023	05	3	2	5	8	50
07/04/2023	06	3	2	9	12	47
07/04/2023	07	3	2	11	14	45
07/04/2023	08	3	3	9	13	55
07/04/2023	09	3	3	8	13	68
07/04/2023	10	4	2	6	9	85
07/04/2023	11	4	3	6	10	90
07/04/2023	12	5	4	12	17	84
07/04/2023	13	6	5	17	25	78
07/04/2023	14	5	3	9	13	90
07/04/2023	15	6	4	16	23	80
07/04/2023	16	6	2	6	10	99
07/04/2023	17	6	2	9	12	97
07/04/2023	18	6	3	23	28	74
07/04/2023	19	5	2	5	8	96
07/04/2023	20	4	2	7	9	93
07/04/2023	21	4	2	8	10	87
07/04/2023	22	3	2	8	10	85
07/04/2023	23	3	2	8	11	82
08/04/2023	00	3	2	17	19	59
08/04/2023	01	3	2	15	17	53
08/04/2023	02	3	1	12	15	48
08/04/2023	03	3	2	13	15	39
08/04/2023	04	3	2	14	17	33
08/04/2023	05	3	2	15	17	29
08/04/2023	06	4	2	20	23	20
08/04/2023	07	5	3	13	17	47
08/04/2023	08	8	4	19	25	58
08/04/2023	09	5	2	7	10	80
08/04/2023	10	3	2	3	6	96
08/04/2023	11	3	2	3	5	102
08/04/2023	12	3	2	3	5	106
08/04/2023	13	3	2	2	5	107
08/04/2023	14	3	2	3	5	107
08/04/2023	15	3	2	2	5	108
08/04/2023	16	3	2	2	5	108
08/04/2023	17	3	2	2	5	109
08/04/2023	18	3	1	3	5	109
08/04/2023	19	3	2	2	5	108
08/04/2023	20	3	2	3	5	106
08/04/2023	21	3	2	3	5	100
08/04/2023	22	3	2	2	5	100
08/04/2023	23	3	2	3	5	102
09/04/2023	00	3	2	5	8	88
09/04/2023	01	3	2	6	8	80
09/04/2023	02	3	2	16	18	68
09/04/2023	03	3	2	10	13	73
09/04/2023	04	3	2	5	7	80
09/04/2023	05	3	2	6	8	69
09/04/2023	06	3	2	8	10	47
09/04/2023	07	3	2	11	15	32
09/04/2023	08	3	3	14	19	50
09/04/2023	09	3	2	6	9	85
09/04/2023	10	3	2	3	6	94
09/04/2023	11	3	2	7	10	94
09/04/2023	12	3	3	8	12	93
09/04/2023	13	3	2	4	8	101
09/04/2023	14	3	2	3	6	99
09/04/2023	15	3	2	2	5	103
09/04/2023	16	3	2	3	6	115
09/04/2023	17	3	2	3	6	117
09/04/2023	18	3	2	4	6	107
09/04/2023	19	3	2	3	5	104
09/04/2023	20	3	2	4	6	101
09/04/2023	21	3	2	4	6	90
09/04/2023	22	3	2	5	7	76
09/04/2023	23	3	2	5	7	69
10/04/2023	00	3	2	8	11	54
10/04/2023	01	3	2	10	13	44
10/04/2023	02	3	2	14	16	38
10/04/2023	03	3	2	12	15	30
10/04/2023	04	3	2	6	8	50
10/04/2023	05	3	2	10	13	49
10/04/2023	06	3	2	15	18	35
10/04/2023	07	3	3	16	21	24
10/04/2023	08	3	3	11	16	45
10/04/2023	09	3	2	7	10	78
10/04/2023	10	3	3	11	16	78
10/04/2023	11	3	3	11	16	84
10/04/2023	12	3	2	5	8	98
10/04/2023	13	3	2	3	6	101
10/04/2023	14	3	2	2	5	100
10/04/2023	15	3	2	2	5	98
10/04/2023	16	3	2	2	5	99
10/04/2023	17	3	2	2	5	103
10/04/2023	18	3	2	2	5	105
10/04/2023	19	3	2	3	5	103
10/04/2023	20	3	2	6	8	95
10/04/2023	21	3	2	6	8	93
10/04/2023	22	3	2	7	9	78
10/04/2023	23	3	1	8	10	68
11/04/2023	00	3	2	7	10	71
11/04/2023	01	3	2	7	9	72
11/04/2023	02	3	2	6	8	70
11/04/2023	03	3	2	5	7	65
11/04/2023	04	3	2	7	9	71
11/04/2023	05	3	2	7	10	76
11/04/2023	06	3	2	7	9	73
11/04/2023	07	3	3	19	24	62
11/04/2023	08	3	3	17	21	64
11/04/2023	09	3	4	14	20	76
11/04/2023	10	4	3	14	20	83
11/04/2023	11	5	6	19	28	81
11/04/2023	12	6	6	23	32	80
11/04/2023	13	6	4	17	23	94
11/04/2023	14	6	3	10	14	107
11/04/2023	15	5	2	9	13	103
11/04/2023	16	6	4	17	23	86
11/04/2023	17	6	3	16	20	87
11/04/2023	18	5	3	18	22	81
11/04/2023	19	4	2	8	11	96
11/04/2023	20	5	1	6	8	97
11/04/2023	21	5	2	6	9	93
11/04/2023	22	4	2	8	11	84
11/04/2023	23	5	2	8	11	64
12/04/2023	00	4	2	8	11	52
12/04/2023	01	4	2	24	27	33
12/04/2023	02	5	2	14	17	41
12/04/2023	03	4	2	11	13	41
12/04/2023	04	4	2	13	15	33
12/04/2023	05	4	2	17	21	28
12/04/2023	06	5	5	31	39	17
12/04/2023	07	4	4	18	23	36
12/04/2023	08	5	4	14	20	45
12/04/2023	09	5	3	8	13	60
12/04/2023	10	3	2	8	11	68
12/04/2023	11	3	3	7	11	74
12/04/2023	12	3	3	5	9	80
12/04/2023	13	3	3	5	8	82
12/04/2023	14	3	3	5	9	88
12/04/2023	15	3	2	5	9	96
12/04/2023	16	3	2	7	10	95
12/04/2023	17	3	2	8	11	92
12/04/2023	18	3	2	12	15	86
12/04/2023	19	3	2	7	10	104
12/04/2023	20	3	2	11	13	91
12/04/2023	21	3	2	13	15	75
12/04/2023	22	3	2	8	11	74
12/04/2023	23	3	2	8	10	75
13/04/2023	00	3	2	4	6	90
13/04/2023	01	3	2	7	9	73
13/04/2023	02	3	2	20	22	44
13/04/2023	03	3	2	7	10	69
13/04/2023	04	3	2	6	9	71
13/04/2023	05	3	2	10	13	61
13/04/2023	06	3	2	20	23	47
13/04/2023	07	3	4	23	29	33
13/04/2023	08	3	3	9	13	55
13/04/2023	09	3	3	6	10	66
13/04/2023	10	3	2	4	7	79
13/04/2023	11	3	2	4	7	87
13/04/2023	12	3	2	4	7	91
13/04/2023	13	3	3	9	13	87
13/04/2023	14	3	4	13	19	86
13/04/2023	15	3	2	7	11	93
13/04/2023	16	3	2	6	10	96
13/04/2023	17	3	3	9	13	93
13/04/2023	18	3	3	19	23	77
13/04/2023	19	3	2	14	17	79
13/04/2023	20	3	2	21	24	56
13/04/2023	21	3	2	11	13	74
13/04/2023	22	3	2	13	15	66
13/04/2023	23	3	2	18	21	50
14/04/2023	00	3	2	18	21	48
14/04/2023	01	3	2	18	20	45
14/04/2023	02	3	1	18	20	37
14/04/2023	03	3	2	10	13	49
14/04/2023	04	3	2	9	11	51
14/04/2023	05	3	2	14	16	43
14/04/2023	06	3	8	34	45	26
14/04/2023	07	3	20	44	75	14
14/04/2023	08	3	5	16	24	50
14/04/2023	09	3	3	9	13	68
14/04/2023	10	3	3	8	12	74
14/04/2023	11	3	3	7	12	77
14/04/2023	12	4	2	5	8	80
14/04/2023	13	4	3	6	10	75
14/04/2023	14	4	2	4	8	78
14/04/2023	15	4	2	4	7	75
14/04/2023	16	3	2	4	8	75
14/04/2023	17	3	2	5	8	73
14/04/2023	18	3	2	6	8	78
14/04/2023	19	3	2	10	12	73
14/04/2023	20	4	2	16	19	58
14/04/2023	21	3	2	18	21	51
14/04/2023	22	3	2	12	15	53
14/04/2023	23	3	2	5	8	64
15/04/2023	00	3	2	5	8	62
15/04/2023	01	3	2	4	7	64
15/04/2023	02	3	2	4	6	61
15/04/2023	03	3	2	3	6	61
15/04/2023	04	3	2	3	6	54
15/04/2023	05	3	2	4	7	53
15/04/2023	06	3	2	7	9	51
15/04/2023	07	3	3	13	17	48
15/04/2023	08	3	2	7	10	65
15/04/2023	09	3	2	3	6	80
15/04/2023	10	3	2	3	5	84
15/04/2023	11	4	2	3	6	85
15/04/2023	12	5	2	3	6	85
15/04/2023	13	6	2	4	7	86
15/04/2023	14	6	6	19	27	77
15/04/2023	15	5	4	17	24	72
15/04/2023	16	5	4	18	25	78
15/04/2023	17	3	2	4	7	88
15/04/2023	18	4	2	11	14	79
15/04/2023	19	4	2	3	6	84
15/04/2023	20	4	2	3	5	85
15/04/2023	21	4	2	2	5	86
15/04/2023	22	3	2	2	5	87
15/04/2023	23	3	2	2	5	85
16/04/2023	00	3	2	2	5	85
16/04/2023	01	3	2	2	5	84
16/04/2023	02	3	2	5	8	74
16/04/2023	03	3	2	5	7	71
16/04/2023	04	3	2	3	6	68
16/04/2023	05	3	2	3	6	71
16/04/2023	06	3	2	5	8	54
16/04/2023	07	3	2	5	8	56
16/04/2023	08	4	3	7	11	70
16/04/2023	09	3	3	4	8	83
16/04/2023	10	3	3	4	8	88
16/04/2023	11	4	2	3	7	92
16/04/2023	12	5	2	3	6	99
16/04/2023	13	4	2	4	7	101
16/04/2023	14	4	2	3	6	100
16/04/2023	15	4	3	6	10	96
16/04/2023	16	4	2	8	11	88
16/04/2023	17	3	3	12	17	82
16/04/2023	18	3	2	12	14	86
16/04/2023	19	3	2	31	34	56
16/04/2023	20	3	2	28	30	51
16/04/2023	21	3	2	9	12	78
16/04/2023	22	3	2	9	12	67
16/04/2023	23	3	2	17	20	53
17/04/2023	00	3	2	15	18	47
17/04/2023	01	3	1	10	12	51
17/04/2023	02	3	2	6	8	57
17/04/2023	03	3	2	6	8	54
17/04/2023	04	3	2	6	8	54
17/04/2023	05	3	2	7	10	52
17/04/2023	06	3	2	18	21	33
17/04/2023	07	3	8	27	39	22
17/04/2023	08	3	4	13	19	57
17/04/2023	09	3	2	4	7	82
17/04/2023	10	3	2	3	6	89
17/04/2023	11	3	2	2	5	94
17/04/2023	12	4	2	2	5	98
17/04/2023	13	3	1	2	5	103
17/04/2023	14	3	2	2	5	106
17/04/2023	15	4	2	2	5	111
17/04/2023	16	4	2	3	5	110
17/04/2023	17	4	2	4	7	108
17/04/2023	18	4	1	5	8	103
17/04/2023	19	3	1	5	7	100
17/04/2023	20	3	2	5	8	97
17/04/2023	21	3	2	8	10	86
17/04/2023	22	3	2	9	11	81
17/04/2023	23	3	2	6	8	81
18/04/2023	00	3	2	6	8	83
18/04/2023	01	3	1	7	9	93
18/04/2023	02	3	2	3	5	104
18/04/2023	03	3	2	4	6	102
18/04/2023	04	3	2	3	6	101
18/04/2023	05	3	2	4	7	96
18/04/2023	08	3	3	20	25	53
18/04/2023	09	3	3	10	14	74
18/04/2023	10	3	2	5	8	91
18/04/2023	11	4	2	4	7	98
18/04/2023	12	4	2	3	6	101
18/04/2023	13	5	2	4	7	106
18/04/2023	14	5	2	4	7	104
18/04/2023	15	5	2	4	7	104
18/04/2023	16	6	2	7	10	99
18/04/2023	17	6	2	8	11	96
18/04/2023	18	5	2	10	13	89
18/04/2023	19	5	2	5	8	97
18/04/2023	20	4	1	6	9	97
18/04/2023	21	5	1	3	6	100
18/04/2023	22	4	2	3	6	96
18/04/2023	23	4	2	4	6	92
19/04/2023	00	4	2	5	8	83
19/04/2023	01	3	2	6	8	82
19/04/2023	02	4	2	4	7	74
19/04/2023	03	3	2	4	7	70
19/04/2023	04	4	2	4	7	58
19/04/2023	05	3	2	16	19	39
19/04/2023	06	4	13	38	58	7
19/04/2023	07	4	22	42	74	14
19/04/2023	08	5	4	19	25	57
19/04/2023	09	5	2	6	9	90
19/04/2023	10	3	2	4	7	100
19/04/2023	11	3	2	4	6	102
19/04/2023	12	3	2	4	7	104
19/04/2023	13	4	2	4	7	106
19/04/2023	14	3	2	3	6	108
19/04/2023	15	4	2	4	8	103
19/04/2023	16	3	2	7	9	103
19/04/2023	17	3	2	11	14	97
19/04/2023	18	3	2	16	19	88
19/04/2023	19	3	2	7	10	101
19/04/2023	20	3	2	13	15	87
19/04/2023	21	3	2	3	5	102
19/04/2023	22	3	2	4	6	94
19/04/2023	23	3	1	9	12	77
20/04/2023	00	3	2	23	26	47
20/04/2023	01	3	2	9	12	60
20/04/2023	02	3	2	6	9	61
20/04/2023	03	3	2	6	8	68
20/04/2023	04	3	2	15	18	52
20/04/2023	05	3	2	22	24	38
20/04/2023	06	3	8	38	51	13
20/04/2023	07	3	18	45	72	13
20/04/2023	08	3	18	41	68	27
20/04/2023	09	3	13	35	55	40
20/04/2023	10	4	5	17	24	72
20/04/2023	11	5	10	31	47	61
20/04/2023	12	5	3	11	15	97
20/04/2023	13	5	4	14	19	95
20/04/2023	14	5	3	10	14	108
20/04/2023	15	4	2	10	14	111
20/04/2023	16	3	2	9	13	112
20/04/2023	17	3	2	9	12	116
20/04/2023	18	3	2	12	15	113
20/04/2023	19	3	2	17	20	99
20/04/2023	20	3	2	10	13	101
20/04/2023	21	3	2	6	8	106
20/04/2023	22	3	2	4	7	101
20/04/2023	23	3	1	4	6	88
21/04/2023	00	3	2	10	13	61
21/04/2023	01	3	2	12	14	61
21/04/2023	02	3	1	12	14	53
21/04/2023	03	3	1	11	13	62
21/04/2023	04	3	2	6	9	74
21/04/2023	05	3	2	10	13	70
21/04/2023	06	3	2	22	25	37
21/04/2023	07	5	34	44	96	16
21/04/2023	08	5	12	29	46	45
21/04/2023	09	3	3	10	14	84
21/04/2023	10	3	3	8	12	91
21/04/2023	11	3	2	7	11	92
21/04/2023	12	3	2	4	8	99
21/04/2023	13	3	2	3	6	102
21/04/2023	14	3	2	4	7	104
21/04/2023	15	3	2	5	7	114
21/04/2023	16	3	2	4	7	118
21/04/2023	17	3	2	4	7	118
21/04/2023	18	3	2	5	7	116
21/04/2023	19	3	2	5	8	115
21/04/2023	20	3	2	5	7	115
21/04/2023	21	3	2	4	7	111
21/04/2023	22	3	2	8	10	94
21/04/2023	23	3	2	10	12	85
22/04/2023	00	3	2	15	18	72
22/04/2023	01	3	1	18	20	67
22/04/2023	02	3	2	7	10	85
22/04/2023	03	3	2	6	9	83
22/04/2023	04	3	2	6	9	63
22/04/2023	05	3	2	8	11	41
22/04/2023	06	3	2	14	17	31
22/04/2023	07	3	4	22	28	35
22/04/2023	08	3	4	21	26	49
22/04/2023	09	3	3	14	18	75
22/04/2023	10	3	2	11	15	87
22/04/2023	11	4	2	8	12	99
22/04/2023	12	4	2	8	12	109
22/04/2023	13	3	2	7	10	111
22/04/2023	14	4	2	4	7	120
22/04/2023	15	5	2	4	7	125
22/04/2023	16	5	2	4	6	123
22/04/2023	17	3	2	5	8	119
22/04/2023	18	4	2	6	8	118
22/04/2023	19	3	2	6	9	119
22/04/2023	20	3	2	5	7	122
22/04/2023	21	3	2	4	6	110
22/04/2023	22	3	2	4	7	95
22/04/2023	23	3	2	10	12	77
23/04/2023	00	3	2	17	20	54
23/04/2023	01	3	2	16	18	50
23/04/2023	02	4	1	14	16	52
23/04/2023	03	3	1	14	16	41
23/04/2023	04	3	2	16	18	30
23/04/2023	05	3	2	16	19	29
23/04/2023	06	3	2	15	19	29
23/04/2023	07	3	3	15	20	38
23/04/2023	08	5	3	10	15	54
23/04/2023	09	4	3	11	15	66
23/04/2023	10	3	3	9	13	74
23/04/2023	11	3	2	7	11	85
23/04/2023	12	3	2	5	9	95
23/04/2023	13	3	2	5	8	100
23/04/2023	14	4	3	9	13	97
23/04/2023	15	3	2	9	12	94
23/04/2023	16	3	2	6	10	104
23/04/2023	17	3	2	7	11	106
23/04/2023	18	3	2	4	8	109
23/04/2023	19	3	2	5	8	111
23/04/2023	20	3	2	6	9	101
23/04/2023	21	3	1	7	9	99
23/04/2023	22	3	2	8	11	94
23/04/2023	23	3	2	8	10	92
24/04/2023	00	3	2	6	9	84
24/04/2023	01	3	2	6	9	70
24/04/2023	02	3	2	8	10	59
24/04/2023	03	3	2	9	12	49
24/04/2023	04	3	2	15	17	38
24/04/2023	05	3	2	15	18	29
24/04/2023	06	3	5	21	29	17
24/04/2023	07	3	22	40	73	12
24/04/2023	08	3	9	25	38	46
24/04/2023	09	3	3	6	10	83
24/04/2023	10	3	2	5	9	85
24/04/2023	11	4	2	7	10	83
24/04/2023	12	4	3	6	10	80
24/04/2023	13	5	2	4	8	85
24/04/2023	14	5	2	4	7	90
24/04/2023	15	5	2	4	7	92
24/04/2023	16	4	2	3	6	94
24/04/2023	17	4	2	3	5	98
24/04/2023	18	3	2	3	5	99
24/04/2023	19	3	1	5	7	94
24/04/2023	20	3	2	9	11	82
24/04/2023	21	3	2	10	12	70
24/04/2023	22	3	1	14	16	59
24/04/2023	23	3	2	13	15	49
25/04/2023	00	3	2	27	30	28
25/04/2023	01	3	2	21	24	28
25/04/2023	02	3	2	15	17	35
25/04/2023	03	3	2	11	13	35
25/04/2023	04	3	2	12	15	31
25/04/2023	05	3	2	21	24	20
25/04/2023	06	4	18	37	64	4
25/04/2023	07	5	54	47	130	6
25/04/2023	08	4	24	39	76	14
25/04/2023	09	4	6	18	28	46
25/04/2023	10	4	5	18	25	60
25/04/2023	11	5	19	41	69	40
25/04/2023	12	5	9	30	43	61
25/04/2023	13	4	5	18	26	75
25/04/2023	14	4	4	14	20	85
25/04/2023	15	4	2	10	13	98
25/04/2023	16	3	2	5	8	114
25/04/2023	17	3	2	5	8	114
25/04/2023	18	3	2	5	8	112
25/04/2023	19	3	2	5	8	113
25/04/2023	20	3	2	7	10	109
25/04/2023	21	3	2	6	8	108
25/04/2023	22	3	1	6	8	101
25/04/2023	23	3	2	6	9	85
26/04/2023	00	3	2	7	10	76
26/04/2023	01	3	2	7	10	80
26/04/2023	02	3	2	5	8	87
26/04/2023	03	3	2	7	9	77
26/04/2023	04	3	2	4	7	82
26/04/2023	05	3	2	8	11	78
26/04/2023	06	3	2	16	18	61
26/04/2023	07	3	4	23	30	46
26/04/2023	08	3	4	18	23	61
26/04/2023	09	3	3	8	12	84
26/04/2023	10	3	2	7	10	85
26/04/2023	11	3	2	4	7	94
26/04/2023	12	3	2	4	7	101
26/04/2023	13	3	2	6	10	100
26/04/2023	14	3	2	3	6	95
26/04/2023	15	3	2	3	5	95
26/04/2023	16	3	2	3	6	102
26/04/2023	17	3	2	3	6	92
26/04/2023	18	3	2	3	5	90
26/04/2023	19	3	2	3	5	89
26/04/2023	20	3	2	4	7	86
26/04/2023	21	3	2	3	6	85
26/04/2023	22	3	2	3	6	83
26/04/2023	23	3	2	2	5	85
27/04/2023	00	3	2	3	6	73
27/04/2023	01	3	2	5	7	72
27/04/2023	02	3	2	7	10	61
27/04/2023	03	3	2	6	8	47
27/04/2023	04	3	2	10	12	33
27/04/2023	05	3	2	13	16	19
27/04/2023	06	3	3	14	18	16
27/04/2023	07	3	7	23	33	25
27/04/2023	08	3	4	20	26	37
27/04/2023	09	3	6	18	27	44
27/04/2023	10	3	5	16	23	58
27/04/2023	11	3	4	13	20	70
27/04/2023	12	4	2	6	10	96
27/04/2023	13	5	2	4	7	93
27/04/2023	14	5	2	4	7	92
27/04/2023	15	4	2	3	6	87
27/04/2023	16	4	2	4	7	84
27/04/2023	17	4	3	10	15	77
27/04/2023	18	4	2	12	16	73
27/04/2023	19	3	2	4	6	87
27/04/2023	20	3	2	3	6	85
27/04/2023	21	3	2	4	7	72
27/04/2023	22	3	2	6	9	57
27/04/2023	23	3	2	8	11	40
28/04/2023	00	3	2	21	24	21
28/04/2023	01	3	2	19	21	20
28/04/2023	02	4	2	13	16	28
28/04/2023	03	3	2	10	13	29
28/04/2023	04	3	2	10	13	22
28/04/2023	05	4	3	15	19	15
28/04/2023	06	4	10	22	37	5
28/04/2023	07	4	13	25	46	13
28/04/2023	08	3	3	16	21	46
28/04/2023	09	3	3	10	15	61
28/04/2023	10	3	3	7	11	72
28/04/2023	11	4	3	6	10	80
28/04/2023	12	3	2	5	8	87
28/04/2023	13	4	3	5	8	86
28/04/2023	14	4	2	3	7	82
28/04/2023	15	4	2	3	6	82
28/04/2023	16	4	2	3	6	84
28/04/2023	17	3	2	4	7	78
28/04/2023	18	3	2	4	7	84
28/04/2023	19	3	2	7	9	81
28/04/2023	20	3	2	7	9	80
28/04/2023	21	3	2	10	12	68
28/04/2023	22	3	3	47	52	15
28/04/2023	23	3	2	34	37	19
29/04/2023	00	3	2	19	21	38
29/04/2023	01	3	2	11	14	52
29/04/2023	02	3	2	8	11	48
29/04/2023	03	3	2	12	14	38
29/04/2023	04	3	2	17	19	23
29/04/2023	05	3	3	19	24	10
29/04/2023	06	3	7	27	38	6
29/04/2023	07	3	8	25	36	16
29/04/2023	08	4	10	29	45	23
29/04/2023	09	5	8	26	39	34
29/04/2023	10	3	4	14	20	60
29/04/2023	11	3	3	11	15	66
29/04/2023	12	3	2	6	9	80
29/04/2023	13	3	2	3	6	78
29/04/2023	14	3	2	3	6	81
29/04/2023	15	3	2	3	6	85
29/04/2023	16	3	2	3	5	89
29/04/2023	17	3	2	3	5	90
29/04/2023	18	3	2	3	6	89
29/04/2023	19	3	2	4	8	87
29/04/2023	20	3	2	10	12	78
29/04/2023	21	3	2	15	18	65
29/04/2023	22	3	2	16	19	52
29/04/2023	23	3	2	18	21	52
30/04/2023	00	3	2	13	16	44
30/04/2023	01	3	2	21	24	32
30/04/2023	02	3	2	13	17	32
30/04/2023	03	3	2	12	14	33
30/04/2023	04	3	2	9	11	30
30/04/2023	05	3	2	10	13	30
30/04/2023	06	3	2	11	14	29
30/04/2023	07	3	2	9	12	32
30/04/2023	08	3	2	5	9	46
30/04/2023	09	3	2	6	10	57
30/04/2023	10	3	2	5	8	70
30/04/2023	11	3	2	5	9	79
30/04/2023	12	3	2	4	7	81
30/04/2023	13	3	2	4	7	90
30/04/2023	14	3	2	5	8	91
30/04/2023	15	3	2	4	7	98
30/04/2023	16	3	2	6	9	94
30/04/2023	17	3	2	5	8	91
30/04/2023	18	3	2	4	7	89
30/04/2023	19	3	2	3	6	88
30/04/2023	20	3	2	5	8	81
30/04/2023	21	3	2	6	8	79
30/04/2023	22	3	1	5	7	80
30/04/2023	23	3	2	3	6	82
01/05/2023	00	3	2	4	6	79
01/05/2023	01	3	2	3	6	75
01/05/2023	02	3	2	4	6	68
01/05/2023	03	3	2	2	5	74
