FECHA	HORA	NH3	SO2	NO	NO2	NOx	O3
06/01/2023	13	8	5	10	17	32	36
06/01/2023	14	9	4	5	12	20	26
06/01/2023	15	9	5	4	12	18	56
06/01/2023	16	8	4	4	16	22	54
06/01/2023	17	8	4	2	15	19	54
06/01/2023	18	8	4	14	44	65	23
06/01/2023	19	9	6	59	56	147	3
06/01/2023	20	6	6	63	56	152	3
06/01/2023	21	7	6	56	47	133	4
06/01/2023	22	6	6	21	38	71	5
06/01/2023	23	5	6	8	35	47	4
07/01/2023	00	5	6	9	27	41	4
07/01/2023	01	5	7	13	24	44	3
07/01/2023	02	4	8	13	21	41	3
07/01/2023	03	4	7	19	18	46	5
07/01/2023	04	4	7	14	17	38	4
07/01/2023	05	4	7	15	15	38	5
07/01/2023	06	3	9	30	17	64	2
07/01/2023	07	3	9	48	26	100	2
07/01/2023	08	3	8	17	26	51	11
07/01/2023	09	3	9	2	14	16	30
07/01/2023	10	5	6	1	3	4	46
07/01/2023	11	6	6	1	3	5	51
07/01/2023	12	8	4	2	3	5	56
07/01/2023	13	9	4	2	2	5	61
07/01/2023	14	10	4	3	2	6	41
07/01/2023	15	9	3	2	2	5	50
07/01/2023	16	9	4	2	4	7	40
07/01/2023	17	9	4	2	9	12	34
07/01/2023	18	8	4	2	8	11	51
07/01/2023	19	8	4	2	10	13	66
07/01/2023	20	7	4	2	11	14	53
07/01/2023	21	7	4	2	10	13	49
07/01/2023	22	7	5	2	4	7	55
07/01/2023	23	6	5	3	10	14	44
08/01/2023	00	7	5	2	1	3	57
08/01/2023	01	6	5	4	5	10	57
08/01/2023	02	7	4	2	2	4	58
08/01/2023	03	8	4	2	1	2	63
08/01/2023	04	7	4	2	1	4	75
08/01/2023	05	8	4	2	1	4	83
08/01/2023	06	8	4	2	2	4	79
08/01/2023	07	7	4	3	15	19	52
08/01/2023	08	7	5	9	34	48	16
08/01/2023	09	8	4	2	4	6	54
08/01/2023	10	7	5	2	4	7	63
08/01/2023	11	8	5	6	21	30	60
08/01/2023	12	8	4	5	9	16	42
08/01/2023	13	8	4	2	1	4	32
08/01/2023	14	9	4	2	2	5	36
08/01/2023	15	9	4	2	1	4	55
08/01/2023	16	9	4	2	1	4	59
08/01/2023	17	9	4	2	2	5	54
08/01/2023	18	9	4	2	2	5	52
08/01/2023	19	8	4	2	3	6	55
08/01/2023	20	8	4	2	3	6	39
08/01/2023	21	8	4	2	2	4	32
08/01/2023	22	8	5	2	1	3	53
08/01/2023	23	8	4	2	1	3	29
09/01/2023	00	7	4	2	1	3	27
09/01/2023	01	7	4	2	1	2	32
09/01/2023	02	7	4	2	1	2	37
09/01/2023	03	7	4	2	1	2	33
09/01/2023	04	7	4	2	1	2	32
09/01/2023	05	7	4	2	1	4	49
09/01/2023	06	7	4	2	11	14	45
09/01/2023	07	7	4	7	27	37	35
09/01/2023	08	7	4	3	25	29	23
09/01/2023	09	7	5	7	24	34	29
09/01/2023	10	6	4	3	9	14	
09/01/2023	11	6	4	2	7	11	57
09/01/2023	12	7	4	2	6	10	57
09/01/2023	13	6	3	3	6	10	61
09/01/2023	14	6	4	3	6	10	62
09/01/2023	15	7	4	7	17	27	54
09/01/2023	16	6	4	8	28	40	27
09/01/2023	17	6	4	14	49	70	19
09/01/2023	18	6	5	33	60	110	20
09/01/2023	19	6	5	59	64	155	14
09/01/2023	20	6	5	58	61	150	12
09/01/2023	21	5	6	61	63	157	3
09/01/2023	22	5	7	68	58	162	3
09/01/2023	23	4	5	10	37	53	17
10/01/2023	00	3	5	2	28	31	23
10/01/2023	01	4	5	3	29	34	12
10/01/2023	02	4	6	2	17	19	26
10/01/2023	03	3	5	2	14	16	34
10/01/2023	04	3	5	1	12	13	34
10/01/2023	05	3	6	1	10	11	38
10/01/2023	06	3	5	2	14	17	32
